Time,x_end_to_end,y_end_to_end,z_end_to_end
532.0000,18.302979,-7.561100,-6.205572
533.0000,19.768139,-10.859755,-4.704411
534.0000,16.917279,-9.094530,-6.263027
535.0000,21.309761,-7.384253,-5.284891
536.0000,19.268512,-4.562983,-6.591066
537.0000,21.416126,-1.769310,-6.622133
538.0000,23.268112,-3.372396,-6.491570
539.0000,25.067756,-5.210879,-6.389972
540.0000,25.522162,-5.362303,-8.465090
541.0000,24.693696,-8.067457,-7.832269
542.0000,25.375951,-8.587129,-5.162700
543.0000,26.132702,-6.851925,-7.940167
544.0000,29.652772,-8.334928,-9.214299
545.0000,31.125631,-7.638784,-9.521348
546.0000,28.560457,-8.758834,-10.043574
547.0000,23.315604,-8.477890,-9.590558
548.0000,22.407992,-8.262030,-10.548311
549.0000,22.716542,-7.416714,-8.845309
550.0000,23.820555,-7.076437,-8.002264
551.0000,21.305006,-3.628565,-6.346741
552.0000,21.625647,-2.779208,-8.407656
553.0000,21.251450,-3.962454,-6.430302
554.0000,21.311565,-3.216295,-10.277806
555.0000,19.944429,-0.191943,-11.802430
556.0000,20.309824,-1.568403,-13.730779
557.0000,23.868312,-3.022482,-9.844268
558.0000,23.912465,-0.262993,-4.422365
559.0000,24.140161,-0.797657,-5.504116
560.0000,22.122273,-0.056933,-7.850682
561.0000,24.764696,-2.153204,-9.703856
562.0000,23.354295,-4.176251,-8.963651
563.0000,23.904532,-4.480986,-13.658283
564.0000,22.151170,-5.412780,-13.501069
565.0000,21.779970,-4.513886,-16.355082
566.0000,19.969151,-4.851145,-14.233452
567.0000,18.005256,-8.150988,-15.050482
568.0000,15.674522,-7.911920,-8.348474
569.0000,16.003723,-7.311965,-10.232804
570.0000,16.405931,-6.889538,-11.089198
571.0000,18.890710,-8.516939,-9.710792
572.0000,16.353586,-10.698440,-8.632246
573.0000,17.580162,-9.018507,-10.418862
574.0000,17.947052,-5.362374,-9.857371
575.0000,14.896436,-4.265494,-9.977970
576.0000,14.893535,-2.678384,-8.816985
577.0000,16.351235,-3.489579,-6.652433
578.0000,20.277033,-6.320495,-9.774035
579.0000,21.949481,-7.914318,-10.672929
580.0000,21.333131,-6.060873,-9.997673
581.0000,22.572329,-6.002739,-11.970118
582.0000,24.582276,-8.652172,-11.711212
583.0000,28.010847,-6.323184,-9.201086
584.0000,28.245097,-7.507264,-9.370513
585.0000,26.247535,-10.498882,-10.399809
586.0000,25.226911,-9.989756,-12.271861
587.0000,24.621006,-8.791502,-12.388002
588.0000,27.295932,-8.422151,-10.707247
589.0000,29.119409,-5.085385,-12.922356
590.0000,27.183898,-4.118616,-11.802937
591.0000,25.365211,-3.019953,-11.401614
592.0000,25.770270,-1.324371,-13.119090
593.0000,23.844594,-3.777993,-13.366244
594.0000,25.338399,-3.725949,-10.048404
595.0000,25.029341,-0.276521,-10.333778
596.0000,24.919122,0.725276,-13.340931
597.0000,25.573325,2.013399,-12.578402
598.0000,27.479577,-0.279479,-8.933070
599.0000,27.705544,-1.953456,-8.656578
600.0000,29.597860,-5.541561,-11.089166
601.0000,30.876646,-5.181755,-12.131725
602.0000,35.447216,-5.984224,-9.152361
603.0000,37.265223,-9.468887,-10.802881
604.0000,37.681854,-9.736008,-11.265190
605.0000,33.668537,-9.096571,-13.290622
606.0000,34.770817,-9.506999,-12.204493
607.0000,34.538992,-7.126901,-10.497323
608.0000,34.977759,-5.119394,-8.666717
609.0000,33.535795,-5.993397,-9.989200
610.0000,30.476933,-6.333819,-10.408670
611.0000,32.737448,-5.743925,-12.942767
612.0000,33.062160,-5.801614,-11.284631
613.0000,35.042646,-5.927360,-12.527925
614.0000,34.268388,-8.733234,-9.193755
615.0000,30.708801,-7.949734,-4.944256
616.0000,34.327249,-5.415932,-7.211797
617.0000,35.094684,-4.295400,-5.247117
618.0000,32.032521,-1.946729,-4.554697
619.0000,29.356170,-1.443459,-5.686781
620.0000,28.345930,-2.924711,-5.743970
621.0000,26.123421,-3.323034,-7.048451
